Review,Point
"Quán này gần chợ hàn, quán bán bánh mỳ nên phía trước được trang trí màu gạch cũ, khá dễ thương.
Không gian: quán này cũng nhỏ, nếu bạn không chú ý có thể không nhận ra quán ở đoạn nào. Bên trong quán khá dễ thương, mát mẻ, nhưng cũng ít bàn quá, nên cũng không có không gian riêng tư, bàn này nói chuyện bàn kia cũng nghe được. Quán có trang trí mấy cái gối để khách vừa ôm vừa dựa, thoải mái.
Thức ăn: bánh mỳ nhìn rất là ngon, nhìn là thèm ngay lập tức. Mình gọi món bánh mỳ trứng cuộn xúc xích, ăn cũng vừa miệng nhưng dầu nhiều quá, ăn xong 1 ổ là ngán liền. Về nước uống, cũng tạm được, không đặc sắc lắm.
Giá cả: không đắt nhưng cũng không rẻ. Menu đa dạng, phong phú kể cả nước uống lẫn bánh mỳ.
Nhân viên: cũng như các quán mình đi, nhân viên nhiệt tình, dễ thương.
Nếu quán này khai thác tầng trên nữa thì mình nghĩ quán sẽ đông khách lắm. Hy vọng lần sau tới sẽ thử món sandwich, nhìn rất là ngon.",7.2
"Bình thường hay ăn bánh mì ở các quán ven đường, sang chảnh hơn tí zô Đồng Tiến, Ông Tí ăn. Nhưng ở đâu cũng mang đi hết cả. Quán này có view đẹp, ấm áp, nhẹ nhàng. Chiều thảnh thơi nhấm nháp bánh mì, trà đào ở đây thì quá nhẹ nhàng và thư thái rồi. Chưa kể, âm nhạc ở đây cũng dễ chịu.
Mình ăn sandwich, mềm, thơm, không bị khô. Nước sốt đậm đà, hơi chua chua cực hợp ý mình luôn. Trà đào cực kì ngon nha. Tuy nhiên thích hợp với bạn nào quen uống trà hơi đắng, không ngọt quá. Miếng đào tươi, thơm, ngọt ngọt, chua chua dễ nghiện.",7.6
"Quán khá nhỏ, nằm ở đầu đường Hùng Vương đối diện chợ Hàn nên rất dễ tìm, có 2 tầng, trang trí dễ thương và bắt mắt. Quán có máy lạnh nên hợp với thời tiết mùa hè nóng nực như bây giờ. Menu bánh mì và thức uống đa dạng, giá cả hợp lý. Mình gọi bánh mì sandwich thịt cuộn và chanh bạc hà. Cả bánh và nước đều rất ngon và hợp khẩu vị. Nhân viên rất nhiệt tình và thân thiện, còn ra dắt xe cho khách rất vui vẻ và lịch sự.
Sẽ quay lại khi có dịp",7.6
From sandwicth with love ♥,8.0
"Quán dễ tìm,nhân viên nhiệt tình,tđồ ăn nước uống tạm cơ mà view ở đây cực xinh 😍",8.0
"Quán có 2 tầng, trang trí dễ thương. Đặc biệt có mấy cái ghế trông xinhh ơi là xinhh. Giá ở đây mắc, bánh mì thì bình thường, hơi lạt, sandwich ít nhân, không ngon. Nước cũng khá là mắc, uống cũng ok chứ không có gì đặc sắc. Có mấy phần combo ăn lợi hơn, 1 bánh mì và 1 coca 36k. Có a chủ khá nhiệt tình, phục vụ ok. Nói chung nên đến để thử cho biết thôi.",6.0
"Quán đẹp nhưng hơi khó kiếm.
Thức ăn ngon, trà đào dở.
Nhân viên phục vụ tận tình.",6.6
"Quán đẹp từ bên ngoài cho đến không gian bên trong, thức uống cũng khá ổn, hơi mắc nhưng phù hợp với không gian quán.",7.2
"Quán đẹp, có gu nhưng bánh thì không có gì đặc biệt. Bánh mỳ chả bình thường, k có sốt nên nếu ra một hàng bánh mì vỉa chắc chắn thấy ngon hơn. Cafe là món dễ pha cũng rất chán. Nhân viên thì pv k chú ý khách, thấy nv nói chuyện to và bấm đt suốt.",5.8
"Quán ăn rộng, thiết kế đẹp. Giá từ 17-30k một ổ nhưng bánh mì to hơn chỗ khác, nhiều nữa. Tuy có vẻ đắt nhưng rất đáng đồng tiền bát gạo. Nhân viên thân thiện. Sẽ ghé lại vào lần sau.",9.2
"Nhân viên dể thương, chiều khách.
Quán đẹp.
Đồ ăn ngon
Thức uống ngon.",10
"Quán trang trí đẹp, bánh mì và sandwich cũng được có điều giá hơi đắt với học sinh và sinh viên, quán cũng dễ tìm......",7.8
"Giá cả tương đối.
Ăn đủ no.
Quán trang trí đẹp.
Phù hợp để đến cafe thôi cũng đc.",8.2
"Tiệm trang trí đơn giản, sáng, đẹp, có máy lạnh, vừa bán bánh mì vừa bán các loại nước như smoothie, iceblended, soda, có thể ngồi lâu nói chuyện với bạn bè. 
Bánh mì có loại bánh mì ổ và sandwich, giá dao động từ 10k-30k, bánh mì ăn bình thường, không ấn tượng lắm nhưng nước uống thì ngon, matcha ở đây thơm mùi trà xanh rất rõ, uống đậm đà không bị loãng, mojito pha cũng ngon. 
Mình thích thức uống ở đây hơn món chính là bánh mì nhưng nói chung là tiệm này ổn, sẽ quay lại.",7.8
"Quán đẹp, dễ tìm, đồ ăn cũng ok nhưng giá hơi đắt 😊😊",8.6
"Quán bánh mì đầu tiên lên tiệm như thế này 😁😁😁😁
Cách trang trí nhìn rất bắt mắt, mang đậm phong cách Tây Âu luôn 😍😍😍
Bàn ghế bằng gỗ chia thành 4 màu, quầy chế biến sạch sẽ, các loại nhân mặn bỏ ra từng khanh.
Dùng cây lúa mạch trang trí đại diện cho bánh mì.
Màu ấm, có thêm lầu 2 sẽ ghé vào dịp khác.
Nhân viên phục vụ dễ thương, thân thiện.
Menu cũng khá đa dạng để lựa chọn.",8.2
"Sáng kiếm quán bánh mì thì thấy Foody rầm rộn bánh mì không gian Tây nên ghé thử cho biết.
Gọi combo 36k 1 bánh mì và 1 ly nước chanh mật ong/chanh xả.
Pate của quán rất ngon, vị đậm đà, bánh mì bỏ chả, thịt cuộn, ăn ổn :)",8.0
"Mình đến quán vào buổi trưa thì hơi vắng, nhạc hòa tấu nhẹ nhàng, không gian vintage có hơi hướng Âu, bánh mì và nước uống ngon  với giá hợp lí và rẻ (gần như hơn giá vỉa hè 1,2 ngàn j đó)..Và mình thấy khách Tây vào quán mua mang đi nhiều..
Với số tiền 30 -40k/ người vừa ăn vừa uống lại được ngồi trong phòng mát lạnh, không gian đẹp thì cũng đã đủ để mình tặng cho quán 1like :) :)",9.0
"Mình đến quán vào 1 chiều mưa. Không gian quán khá thích, ánh sáng vàng, trang trí thống nhất theo không gian vintage, chỉ có nhạc là hơi không liên quan.
Mình gọi sandwich phô mai thịt cuộn và sandwich phô mai thịt xông khói. Đồ ăn sạch sẽ hợp vệ sinh. Vị thì không biết mọi người thấy sao chứ mình thấy không có gì đặc biệt, nghĩ là bánh mì nướng lên một chút sẽ thơm hơn.",7.0
"Tình cờ tìm được 1 tiệm bánh mì máy lạnh, chuyên bán bánh mì và sanwich với nhiều loại nhân tự làm. Quán trang trí hay hay, đơn giản nhưng dễ thương, tinh tế. Thức ăn chủ yếu là bánh mì và sanwich thông dụng như thịt xíu chả bò, thịt nguội, mì gà, mì trứng v.v... Ngoài ra còn có bánh mì chay cho người ăn chay nữa. Bánh mì ăn ngon, nhân đầy đặn đủ loại, nhìn gọn gàng sạch sẽ, bánh được làm nóng trước khi đưa ra nên ăn rất thích. Bên cạnh bánh mì thì quán còn phục vụ thêm cafe và nước uống, mình gọi trà đào và Lassi chuối uống khá thơm và ngon. Do đi ít người nên minh ngồi 1 bàn ở tầng dưới, còn phía trên là 1 không gian mở nhưng cũng đủ riêng tư cho cả nhóm bạn đến ăn bánh mì và uống cafe. Cảm giác ngồi quán máy lạnh mát rượi, cầm ổ mì nóng giòn trên tay nhâm nhi cũng hay hay lắm đó :D",7.8
"Nằm trên đường Hùng Vương, ngay bên hông chợ Hàn, dễ dàng thấy ngay một quán nhỏ lạ lạ xinh xinh. Nhìn vào quán này thì chắc hẳn không ai có thể đoán được đây là tiệm bán bánh mỳ. Quán xinh, được thiết kế theo hơi hướng vintage. Không gian tuy nhỏ nhưng bàn ghế được bố trí hài hoà nên vẫn tạo được sự thoải mái.
Nói là tiệm bánh mỳ vậy thôi chứ tiệm cũng bán kèm các món thức uống như đá xay, trà, mojito...
Các món bánh ở đây đa dạng từ bánh mỳ tới sandwich. Bạn có thể gọi bánh và nước riêng hoặc order các phần combo cũng khá hay.
Đây là một không gian mới lạ, đặc biệt cho các bạn muốn khám phá và trải nghiệm 1 các thưởng thức khác dành cho bánh mỳ ^^",7.6
Thái độ nhân viên như mẹ khách hàng :) ai đến trước đến sau cũng không biết mua bao nhiêu lần thất vọng bấy nhiêu,4.4
"Mình cũng từng là fan của đồng tiến vì bánh ăn ok. Lại gần nhà. Sau mùa dịch thấy mở lại mừng lắm. Chạy ra mua ngay ăn cho đỡ ghiền. Cuối cùng:
- bánh mì nguội ngắt, nv đưa cho 1 cái bánh riêng, 1 túi chả lụa + rau riêng . Lần đầu thấy bán bánh kiểu này luôn á :))
- bánh bao cũng nguội nốt. Vỏ dày cả tảng. Bứ cổ.
Tổng thiệt hại 33k! Tiền ko tiếc nhưng sp quá tệ, ko thể chấp nhận đc",1.4
"Sản phẩm giao cho khách ko đạt chất lượng. Nguyên 1 con SÂU to còn sống nằm trong bánh mì.
QUÁ TỆ. SẼ KO BAO GIỜ ĂN LẠI NỮA.",1.0
"Thái độ nhân viên quá kém, cả Đồng Tiến 206 Quang Trung thì quá tệ, cư xử & cách phụ vụ khách hàng kiểu như trình độ không có.",4.2
Thái độ phục vụ của nhân viên ở đây quá tệ .k tôn teongj khách hàng .Bỏ tiền ra mua mà làm như xin bánh của nó 😑🐶,1.0
"Tối nay mình vừa mua bánh mì xong và rất không hài lòng với thái độ của bạn nhân viên nam bán bánh mì cho mình, mình vào và nói có trước có sau và còn cười với nhân viên nhưng nv đáp lại mình là rất thái độ, lúc mình đưa tiền xong cầm tiền giựt nhanh rồi đến khi trả lại tiền thừa thì vứt lên trên tủ bánh mì, thật sự chưa bao giờ gặp nv này ở ngoài và không biết mình đã làm gì khiến bạn phải thái độ với mình như vậy.",5.0
Bạn mình mua 5 cái bánh bao nhưng quán chỉ đòi bán 4 cái. bạn mình dù nghèo nhưng vẫn đủ tiền trả cho 5 cái,1.0
"Mọi hôm hay mua sandwich nho của đồng tiến, hôm nay vào trong thấy có bịch bánh bông lan sợi, bịch cũng khá nhiều mà có 6k mình thấy rẻ nên mua về ăn thử. Cái này là phần bánh được cắt ra thành sợi từ những phần bánh còn dư trong quá trình làm các loại bánh bông lan khác, ăn vào thì mùi vị giống y chang phần bánh bông lan trong bánh kem sinh nhật của đồng tiến thôi, bịch bánh còn có thêm mấy sợi bánh màu xanh vị trà xanh nữa, ngoại hình bánh không được đẹp cho lắm nhưng mà ăn vẫn ổn, giá cũng rẻ nữa.",8.0
"Đêm hôm đói bụng thì mò ra đồng tiến mua bánh mỳ về ăn.
Mắt lại tia một loạt bánh ở trong nữa 😂 vào hốt dần về ~
Bánh mỳ ở đồng tiến thì luôn ngon rồi, vỏ bánh giòn, nhân thịt nướng đầy ắp kèm rau ớt dưa đầy đủ mà chỉ 12k thôi.
Không gian bên trong không rộng lắm nhưng bố trí khá vừa mắt, nhìn là muốn nhào vô đống bánh rồi.
Mình rất thích loại bánh bông lan da beo. Có vị béo thơm của phomai cùng vị sữa ăn khá ngon, mà ăn nhiều thì hơi ngán tẹo.
Bánh kẹp dăm bông cũng ngon nè, chút vị mặn mặn cùng với ngọt nhẹ của bánh cũng hấp dẫn lắm ý.
Loại nào nom cũng bắt mắt mà giá cả cũng phải chăng nên mình ghé mua khá nhiều aaa.",8.0
"bánh mì ở đây ngon, lại rẻ, chất lượng. sáng nào đi học vội cũng ghé vô mua bánh mì ăn. bánh ngọt thì thơm ngon, đáng yêu.",6.4
"Sáng lò mò đi mua ổ bánh mỳ ăn. Ổ bánh mỳ thịt nướng từ 12-15k. Thịt khá nhiều, thịt khá thấm lại thơm cực. Rau ớt đầy đủ, có dăm bông, dưa chua, ....
Vỏ bánh giòn, không bị ỉu. Khá ổn cho ổ bánh mỳ chất lượng.",7.8
"Hị hị mình đi mua bánh sinh nhật cho học trò nên tạt ngang qua mua đại. Nên nói về bánh thì mình khá thích bánh kem của đồng tiên ăn mềm khá ngon. Bánh cũng đa dạng về loại bánh với cả giá tiền cũng khá hợp lý. Mấy loại bánh socola ăn khá là ngon.
Nhân viên nên xem lại cách bán hàng nh mặt mày cứ quậu quậu với nói lơns tiếng với nhau. Mình hổng có thích như vậy đâu. Bán mà niềm nở khách hàng cũng muốn mua nhiều hơn ấy ạ. 
Về giá cả mình nghĩ kaf khá bình dân ấy.
Địa điểm cửa hàng thì gần nhiều trường học với đường cũng dễ kiếm nè",5.6
"Mỗi lần thèm bánh kem là lại chạy ra Đồng Tiến mua cái bánh nhỏ nhỏ về ăn đỡ ghiền :v
Dạo này có chương trình bốc thăm khi mua bánh kem, bánh kem to nhỏ gì cũng được ý.
Mình rút được cái móc khóa hình ổ bánh mỳ :)))
Hôm nay ra mua cái bánh kem sữa tươi này~ 20k thôi
Vị sữa tươi thơm ngọt, béo 1 chút, ăn rất ngon. Phần bánh ngọt vừa phải cùng với vị kem tươi với chút choco ở trên >""< ngon dã man ~
Mẫu mã bánh khá đa dạng, ngoài ra còn các loại sandwitch, bông lan, su kem,...
sẽ ghé lại",8.6
"Sáng đói bụng thì mò sang Đồng Tiến mua ổ bánh mỳ ăn lót dạ.
Bánh mỳ rất thơm và giòn. Nhân bên trong khá nhiều, ăn rất vừa miệng.
Giá cả bình dân phù hợp cho sinh viên. Từ 8k-15k đã có ngay ổ bánh mỳ nóng giòn rồi.
Quầy bánh khá sạch sẽ, bố trí gọn gàng.
Ở Đồng Tiến còn các loại bánh bông lan trông khá hấp dẫn mà giá cũng không cao. 
Có album để chọn bánh kem luôn, nhiều mẫu xinh lắm. 
Không gian rộng rãi, nhân viên không nhiệt tình lắm.
Sẽ ghé lại.",8.2
"Hôm qua 8/3 Đồng Tiến có chương trình khuyến mãi, những khách hàng nữ đến mua hàng sẽ được tặng phần quà nhỏ. Nên cũng tới hóng hớt. Mình mua bánh mỳ thịt nướng, tiramisu với 2 cái su kem. Được tặng gói quà nhỏ nhỏ siêu xinh, bên trong có chocolate nhiều vị. Bánh mỳ thịt nướng 15k/ổ, vỏ bánh giòn rụm cùng thịt nướng thơm thấm gia vị; Tiramisu vị béo béo của cream cùng vị đắng đắng của cacao làm nên hương vị tuyệt lắm. Su kem thì không hợp ý mình lắm, vỏ bánh không thơm, nhân quá ít, cream cũng không được ngon. 10k/2cái quả không xứng. Sẽ quay lại Đồng Tiến thử nhiều loại bánh hơn.",7.8
"Đồng tiến bakery thì có nhiều địa điểm khắp đà nẵng rồi, muốn ăn thì ra đường là có. Tiệm gần công ty, nên sáng nào thèm thèm hay ăn sáng khôn kịp thì ghé mua ổ mì liền. Gần đây có sản phẩm bánh mì chả lụa nhưng có dịp ăn thử. Bánh ngọt vô vàng loại mà giá bình dân từ 3k - 50k, muốn ăn no thì cỡ 10k là vô tư rồi nhé. Toàn hên nên đến toàn quán vừa ra bánh mì nóng giòn ăn ngon dễ sợ. Bánh kem thì tiệm nhiều mẫu mã có nhiều sự lựa chọn. Nhân viên nhiệt tình dễ thương",8.2
"Mua bánh Đồng Tiến nè. Nhiều mẫu đẹp lắm. Có nguyên album mẫu để đặt làm luôn. Giá cả phù hợp, có khi lại rẻ nữa. Đồng Tiến có các loại bánh mỳ, bông lan phomai trứng muối, su kem, bánh dừa, bánh khoanh,sandwich,... rất nhiều mà lại ngon nữa nên khách mua đông lắm nha.Nhiều mẫu bánh kem thiệt xinh, muốn gom hết về luôn ý. Có các loại bánh kem mini, tiramisu, phomai chanh dây,.... dễ dàng cho ai muốn mua ít. Mua bánh kem người ta tặng luôn nến sinh nhật nha. Không gian không rộng nhưng đủ để trưng bày các mặt hàng. Sẽ quay lại.",8.4
"Gần tết rồi, cửa hàng xôm tụ hơn hẳn. Mẫu bánh cũng đa dạng hơn, nhiều mẫu dễ thương lắm. Giá bánh cũng khá hợp túi tiền. Nhiều loại bánh bông lan, sandwitch, su kem, bông lan trứng muối,... phong phú. Hương vị tuyệt vời luôn. Một số phần bánh tiramisu, phomai chanh dây, bánh kem dâu,... cũng bán với giá 17k. Bánh kem sữa tươi mini thì 19k. Có bán bánh mỳ, bánh bao,.... siêu ngon. Phục vụ tận tình. Sẽ quay lại ủng hộ nhiều hơn nữa.",8.2
"Lễ tết gì Đồng Tiến vẫn bán bình thường ha. Tối chạy ngang mua 2 bánh su kem với 1 cái phomai chanh dây. Vỏ bánh su kem hơi khét, kem thì ổn, ngọt vừa. Phomai chanh dây ngon, béo béo chua chua. Có đa dạng các loại bánh lắm.",7.8
"Bánh nhiều mẫu đẹp, hương vị ngon. Không quá ngọt, thanh thanh rất dễ ăn. Bánh đa dạng, nhìn sướng mắt dã man. Các loại bánh mini dễ thương lắm, giá cả lai rẻ. Khá ok.",7.8
"Mị bị cuồng bánh kem. Cứ tuần lại mua về ăn. Phomai chanh dây là bánh mị mua ăn nhiều nhất. Bánh mềm, vị chanh dây chua nhẹ kèm theo vị phomai béo béo ăn cực thích nha. Giá cả chỉ 18k 1 miếng. Sắp tới sinh nhật nhỏ em nên có dự định đặt bánh Đồng Tiến đây.",8.2
"Thi thoảng lại mò ra mua cái bánh nhỏ nhỏ về nhóp nhép. Mẫu bánh đa dạng, dễ thương lắm. Bánh siêu ngon, chocolate cũng tuyệt lắm",7.6
"Phomai chanh dây là nhất hihi. Lúc buồn miệng lại mò ra để mua, có nhiều loại bánh mini siêu dễ thương như tiramisu, bánh kem dâu, bánh kem sữa tươi mini, bánh flan kem.... nhìn ngon mắt lắm nha. Ở đây bán bánh mỳ cả ngày, bánh bao, bông lan hay sandwich đa dạng lắm. Đến sinh nhật muốn loại bánh nào có thể xem album và đặt trước. Bánh ở đây siêu ngon nha. Nhân viên cũng không nhiệt tình lắm. Sẽ quay lại khi có dịp.",7.4
"Mỗi lần thèm bánh kem là lại mò ra đây mua một cái bánh nhỏ nhỏ về rỉa cho đỡ thèm. Cứ bị ghiền phomai chanh dây ấy, lâu lâu hết lại mua tiramisu về ăn. Bánh Đồng Tiến ngon có tiếng rồi. Bánh phomai béo béo 1 chút chua nhẹ nữa, cực thơm mùi phomai. Tiramisu thơm, ngon, cacao đăng đắng hợp vị của kem là hết sẩy luôn. Đồng Tiến làm bánh siêu đẹp lại ngon nữa, có vài loại bánh kem sữa tươi mini nữa, trông dễ thương lắm. Luôn ủng hộ đồng tiến dài dài nè.",7.8
"Chất lượng, bánh chuối đồng tiến cực kì ngon luôn. Bánh được phân thành đơn vị nhỏ nên ăn khá vừa không ngán. 
Bánh có độ ngọt vừa phải, thơm mùi chuối quyện cùng vị thơm của bánh nướng nên rất ngon. Mình mua bánh 5 cái còn được nhân viê. Hỏi là bỏ bì hay bỏ hộp. Hộp bánh thiết kế trang nhã nên có thể làm quà tặng cũng khá lịch sự. 
Nhân viên ở cửa hàng nhiệt tình và luôn tươi cười. 
Rất thích bánh Đồng Tiến chắc chắn sẽ còn ủng hộ dài dài.",7.8
"Sáng đói bụng nên tạt vào quán mua ổ bánh mì. Bánh mì nóng giòn, nhiều chả, giá cả bình dân. Không gian nhỏ nhưng nhiều loại bánh, decor hấp dẫn.
Sáng đi mua có gặp bạn bé nhán viên dễ thương, thân thiện lắm. Chắc sẽ ghé dài dài.
Mãi yêu Đồng Tiến.",7.8
"Sinh nhật đứa em mua cho ăn. Mình ghiền ăn bánh kem lắm và đây là một dịp để thỏa sở thích. Bánh kem Đồng Tiến là ngon nhất rồi. Mẫu bánh lại đẹp, phong phú vô cùng. Bánh này 55k nha, loại nhỏ thôi. Mình thích loại bánh kem sữa tươi với chút chocolate ăn kích thích lắm luôn. Đồng Tiến cũng bán nhiều loại bánh kem nhỏ chỉ trong 20k mà đáng yêu lắm.",8.0
Hết chỗ chê luôn. Bánh Đồng Tiến ngon lắm. Lâu lâu lại bay ra mua cái bánh nhỏ nhỏ về nhóp nhép. Các mẫu bánh đa dạng đẹp mắt mà lại ngon nữa.,7.4
"Bữa sáng từ bánh ngọt Đồng Tiến. Mua nhiều nhưng cứ ăn dc 1-2 cái là no căng.
Ghé đây thì bánh cũng đa dạng, tự chọn, tự phục vụ luôn nên mình thấy tiện.
Bánh thì hầu như các cơ sở đều đặc trưng giống nhau cả. Ngon. Ăn vừa miệng. Hợp túi tiền !",7.8
"Mua bánh kem về tặng mẹ. Bánh kem ngon có nhân bên trong bánh nên không ngán. Trang trí cũng đẹp mắt. Bánh Đồng Tiến chất lượng nên sinh nhật mình hay mua tại đây. Có loại bánh kem nhỏ 15,17k giá cả dễ mua.",8.2
"Cứ lâu lâu lại chạy ra mua một cái bánh về ăn. Ăn riết rồi trông như con nhợn. Đồng Tiến làm bánh khá ngon, lại đẹp nữa nên mình rất thích. Giá cả cũng không mắc. Phomai chanh dây 17k, bánh kem sữa tươi 19k. Mỗi lần đến sinh nhật lại hay đặt bánh ở đây. Bánh vô cùng phong phú, các bạn có thể lựa chọn, có cả bánh trái cây nữa khá hấp dẫn.",8.0
"Bị ghiền pho mai chanh dây rồi. Cứ chạy ra Đồng Tiến mua hoài. Thực sự phải ăn thử, max ngon luôn. Vị béo béo kèm chua nhẹ của chanh dây không lẫn được. Thơm mùi phomai. 
Nhân viên không nhiệt tình lắm. Sẽ ghé lại.",7.2
"Lâu lắm rồi mình không mua bánh bao ăn chiều nay rảnh rảnh qua khu núi thành chơi thấy nồi bánh bao nóng hổi thơm lừng bốc khói nên bị kích thích quá vạy là ghé vào mua vài cái về nhà ăn. Bánh bao mình mua tầm 4h nên vừa mới được hấp xong nóng hổi thơm phức luôn. Cá nhân mình trước giờ ngại ăn nhân bánh bao lắm vì kiểu không thích nhưng mà hôm nay thấy nhân bánh bao bên này khá ngon, vừa miệng.",7.0
"Tiramisu với bánh phô mai chanh dây rất ngon. Bánh phô mai có vị chua nhe của chanh dây, béo béo của phomai. Tiramisu hơi đắng chút cơ mà vẫn ngon, bánh mềm, thơm. Mỗi lần sinh nhật hay mua bánh kem ở đây, max ngon luôn. Ở đây có bán bánh mì thịt nướng, chả, trứng đủ loại, giá cả cũng phù hợp cho sinh viên. Nói chung là được lắm. Sẽ ghé dài dài",7.0
"Bánh mì đồng tiến thì khỏi nói ở đà nẵng là ở chỗ nào cũng có mặt cả. Chỗ này mình đi ngang qua mua ăn đại, nhìn bao bì thì cũng sạch sẽ, có bao giấy ngoài nữa khá chu đáo chứ không phải giấy báo hay giấy vở cắt ra mình ko có thích vậy.
Bánh mì khá giòn màu sắc cũng đẹp nữa, như mọi bữa mình ăn bánh mỳ không thì đồng tiến bánh mì tòan mới ra lò ăn rất thích. Phần nhân bên trong mình ăn thịt nướng nhưng nó không có vị ngon cho lắm, như kiểu thịt rắc xíu xiu gia vị rồi nướng thôi ấy. Được phần dưa chua khá ngon, một điểm mình không thích chỗ này là nước chang gì có xíu hà, ko đủ thấm thịt luôn ấy, nên thành ra nó lạc nhách, có mùi mà vị không có tới. Với cả mấy bạn đồng tiếng ơi thay đổi tương ớt hay thêm loại tương ớt đi, ớt bột nấu vừa ko ngon vừa cay xé miệng, vừa ko đẹp nữa. 
Nhân viên ở đây ko có lanh cho lắm.",6.6
"Nay tiệm có món mới là bánh mì thịt nướng nên mua về ăn thử. 1 ổ đầy đủ như vầy là 13k: có rau dưa, thịt bò nướng và sốt kèm theo. Thịt bò lát to và dày, ăn sướng, tuy nhiên hơi khô và ướp chưa thấm vị. Bánh mì nóng giòn ăn no. Bánh kem bữa mình mua tặng sinh nhật cho bạn là 60k/cái. Bánh khá lớn, trang trí đẹp mà giá lại phải chăng. Kem socola ăn không thấy ớn, phần bông lan có mứt cam chua nhẹ, topping socola ăn cũng ngon nữa. Nhân viên thì thân thiện nhiệt tình trước giờ rồi.",7.8
"Vắng mặt một tháng ở ĐN là một tháng mình ko được thưởng thức bánh của ĐTiến, mới về khi hôm là sáng nay mình có măt tại tiệm bánh mỳ liền, vì khách quen nên vắng mặt khá lâu khi thấy mình chị Quản lý vui vẻ chào hỏi mình, chị còn nói là tưởng quên bánh mỳ ĐTiến rồi chứ, mình thấy vui dể sợ đi mua bánh mỳ cũng có người quan tâm. Mình mua về 6 ổ mỳ thịt cho cả gia đình, riêng mình làm lần 2 ổ nhưng vẫn chưa thấy thấm vào đâu,ngon cực kỳ ,kiểu này chắc phải còn ủng hộ ĐTiến dài dài quá đi mất!!",7.8
"Sáng 9h 2 chị em mới ngủ dậy nên hết đồ ăn sáng. Chỉ có ĐT còn mở liền bay vô mua 2 cái bánh mặn về nhai đỡ đói. 7k 1 cái. Cũng khá ngon, gia vị vừa phải, có 2 cây xúc xích nhỏ. Lần sau lại sẽ ghé.",8.2
"Thích tiệm này nhất trong hệ thống đồng tiến bakery. Vì bánh ở đây lúc nào cũng tươi ngon và khu trưng bày nhìn bánh đa dạng, nhìn rất đã. Bánh ở đây phong phú lắm, giá lại hạt dẻ, có bán kèm theo nước suối và sữa hộp. Bánh kem ở đây là ngon nhất, đủ loại và giá tiền phù hợp, rồi tới bánh mì ổ, bánh bao, bánh mặn và bánh bông lan, bánh ngọt thường.Chỉ có một số loại bánh tây như muffin, donut, bánh cuộn, tiramisu và cheese thì bình thường, không đúng vị, có nhiều loại bánh ăn khá khô. Nhân viên nhanh nhẹn và nhiệt tình.",8.0
Gần nhà nên cứ thèm là chạy ra vài bước. Rẻ mà ngon lắm luôn. Mình hay thử các loại bánh ngọt ở đây. Muffin scl 5k. Bánh dừa 5k. Bánh donut 5k. Donut ngon lắm nhé. Bánh kem như hình chỉ 80k thôi. Bánh to kem béo nhưng k ớn. Cũng thường ra đây mua các loại bánh bông lan cỡ to để đi đám giỗ. Quán ruột luôn 😂,8.8
"Chắc không có ai mê Bánh mì Đồng Tiến như mình. Ngày nào cũng phải ghé mua zìa ăn. Bánh mềm, ngọt vừa, ngày ngào cũng có bánh mới ra lò nên rất yên tâm về chất lượng, không sợ ăn phải bánh cũ. Ủng hộ ĐT dài dài...",8.6
"Nhanh thật, mới mua bánh kem Noel năm trước, sáng nay mình ghé lại Đồng Tiến chỗ đường Phan Đăng Lưu lấy cái bánh kem sinh nhật đã thấy xuất hiện bánh kem noel, vậy là đc 1 năm rồi, nhìn bánh noel thì chưa nhiều nhưng mẫu mã bánh có vẻ thay đổi nhiều hơn năm trước, dự định năm nay sẽ mua được vài cái đi tặng giáng sinh. Nhìn thích thật ! !",9.0
"Oh, trời vừa chuyển lạnh, hôm nay ghé bakery Đồng Tiến - Phan Đăng Lưu đã thấy xuất hiện bánh kem Noel rồi. Bánh khá dễ thương, giá cả lại mềm, có 110K thôi. Tiếc là, cái điện thoại cùi bắp mình không chụp được hình, không thì post cho bà con chiêm ngưỡng.",8.8
Ship đúng giờ nhưng bánh sinh nhật hơi thất vọng vì ko ngon. Còn bánh mì thì ok. Bánh ngọt chưa ok cho lắm,7.2
"Hầu như hàng tuần, hàng tháng mình đều có đi dự tiệc sinh nhật. Mỗi lúc có tiệc ,mình chỉ nghĩ đến Đồng Tiến chỗ Phan đăng Lưu, có thời gian là mình đặt trước, còn ko thì mình chạy ra mua bánh có sẵn. ko cần đặt nhưng mẫu mã bánh vẫn rất đẹp, chất lượng thì quá ok rùi.Mới hôm qua mình có đặt 1 cái BK cho con gái theo mẫu của mình và thật sự mình rất hài lòng, ngon khỏi chê.",7.6
"Bánh làm khá nóng hổi, có mùi thơm rất cuốn hút. khẩu phần ăn sáng với 1 chiếc bánh thế này cũng khá là no bụng rồi. Mình vẫn thích mua bánh mỳ ở Đồng Tiến vì thấy làm khá sạch sẽ từ khâu nướng bằng lò vi sóng, tủ kính và khâu gói gém cũng yên tâm về độ sạch sẽ.",7.4
